,DISC_RefExprPronounsPerNoun,DISC_RefExprPronounsPerSen,DISC_RefExprPronounsPerWord,DISC_RefExprPerPronounsPerSen,DISC_RefExprPerProPerWord,DISC_RefExprPossProPerSen,DISC_RefExprPossProPerWord,DISC_RefExprDefArtPerSen,DISC_RefExprDefArtPerWord,DISC_RefExprProperNounsPerNoun
PES09,0.08461538461538462,0.20754716981132076,0.020754716981132074,0.20754716981132076,0.020754716981132074,0.0,0.0,0.0,0.0,0.05384615384615385
BOD05,0.14285714285714285,0.2727272727272727,0.02727272727272727,0.2727272727272727,0.02727272727272727,0.0,0.0,0.0,0.0,0.0380952380952381
OCM19,0.18181818181818182,0.34615384615384615,0.03481624758220503,0.34615384615384615,0.03481624758220503,0.0,0.0,0.0,0.0,0.050505050505050504
OCM14,0.15151515151515152,0.28846153846153844,0.028846153846153848,0.28846153846153844,0.028846153846153848,0.0,0.0,0.0,0.0,0.06060606060606061
UPS11,0.16666666666666666,0.32558139534883723,0.03255813953488372,0.32558139534883723,0.03255813953488372,0.0,0.0,0.0,0.0,0.023809523809523808
AMU10,0.13725490196078433,0.28,0.028169014084507043,0.28,0.028169014084507043,0.0,0.0,0.0,0.0,0.0392156862745098
BFC08,0.1079136690647482,0.21428571428571427,0.02158273381294964,0.21428571428571427,0.02158273381294964,0.0,0.0,0.0,0.0,0.1223021582733813
OCM12,0.112,0.25925925925925924,0.025925925925925925,0.25925925925925924,0.025925925925925925,0.0,0.0,0.0,0.0,0.048
PES08,0.0989010989010989,0.20454545454545456,0.020642201834862386,0.20454545454545456,0.020642201834862386,0.0,0.0,0.0,0.0,0.06593406593406594
GRE14,0.08849557522123894,0.18867924528301888,0.018867924528301886,0.18867924528301888,0.018867924528301886,0.0,0.0,0.0,0.0,0.04424778761061947
LRE04,0.15151515151515152,0.29411764705882354,0.02952755905511811,0.29411764705882354,0.02952755905511811,0.0,0.0,0.0,0.0,0.08080808080808081
CFE09,0.10810810810810811,0.23076923076923078,0.023076923076923078,0.23076923076923078,0.023076923076923078,0.0,0.0,0.0,0.0,0.05405405405405406
NOR06,0.15053763440860216,0.2857142857142857,0.02857142857142857,0.2857142857142857,0.02857142857142857,0.0,0.0,0.0,0.0,0.13978494623655913
BOD13,0.03773584905660377,0.08695652173913043,0.008733624454148471,0.08695652173913043,0.008733624454148471,0.0,0.0,0.0,0.0,0.11320754716981132
PES05,0.13333333333333333,0.24390243902439024,0.024390243902439025,0.24390243902439024,0.024390243902439025,0.0,0.0,0.0,0.0,0.06666666666666667
BRE11,0.11392405063291139,0.21951219512195122,0.022222222222222223,0.21951219512195122,0.022222222222222223,0.0,0.0,0.0,0.0,0.0759493670886076
AMU11,0.28378378378378377,0.5,0.05,0.5,0.05,0.0,0.0,0.0,0.0,0.13513513513513514
CFE02,0.16666666666666666,0.35135135135135137,0.03513513513513514,0.35135135135135137,0.03513513513513514,0.0,0.0,0.0,0.0,0.038461538461538464
AMU02,0.10344827586206896,0.21951219512195122,0.02195121951219512,0.21951219512195122,0.02195121951219512,0.0,0.0,0.0,0.0,0.10344827586206896
LRE05,0.09090909090909091,0.17391304347826086,0.01735357917570499,0.17391304347826086,0.01735357917570499,0.0,0.0,0.0,0.0,0.11363636363636363
ANT02,0.060240963855421686,0.125,0.012626262626262626,0.125,0.012626262626262626,0.0,0.0,0.0,0.0,0.012048192771084338
LDV03,0.22330097087378642,0.3709677419354839,0.03727714748784441,0.3709677419354839,0.03727714748784441,0.0,0.0,0.0,0.0,0.18446601941747573
GRE06,0.21176470588235294,0.4186046511627907,0.04205607476635514,0.4186046511627907,0.04205607476635514,0.0,0.0,0.0,0.0,0.03529411764705882
LYO09,0.07547169811320754,0.14285714285714285,0.01444043321299639,0.14285714285714285,0.01444043321299639,0.0,0.0,0.0,0.0,0.10377358490566038
LOR06,0.10989010989010989,0.25,0.025,0.25,0.025,0.0,0.0,0.0,0.0,0.08791208791208792
UPS01,0.04424778761061947,0.1,0.01,0.1,0.01,0.0,0.0,0.0,0.0,0.02654867256637168
BOD16,0.06504065040650407,0.15384615384615385,0.015444015444015444,0.15384615384615385,0.015444015444015444,0.0,0.0,0.0,0.0,0.008130081300813009
BFC02,0.12138728323699421,0.22105263157894736,0.022105263157894735,0.22105263157894736,0.022105263157894735,0.0,0.0,0.0,0.0,0.09826589595375723
UPS03,0.0625,0.14893617021276595,0.014957264957264958,0.14893617021276595,0.014957264957264958,0.0,0.0,0.0,0.0,0.05357142857142857
GRE01,0.1368421052631579,0.2826086956521739,0.028446389496717725,0.2826086956521739,0.028446389496717725,0.0,0.0,0.0,0.0,0.08421052631578947
GRE04,0.20481927710843373,0.4358974358974359,0.04358974358974359,0.4358974358974359,0.04358974358974359,0.0,0.0,0.0,0.0,0.04819277108433735
OCM07,0.14285714285714285,0.28,0.028,0.28,0.028,0.0,0.0,0.0,0.0,0.08163265306122448
LOR09,0.1686746987951807,0.3333333333333333,0.03333333333333333,0.3333333333333333,0.03333333333333333,0.0,0.0,0.0,0.0,0.21686746987951808
LDV10,0.0859375,0.16666666666666666,0.016666666666666666,0.16666666666666666,0.016666666666666666,0.0,0.0,0.0,0.0,0.1015625
PES03,0.07339449541284404,0.16666666666666666,0.016666666666666666,0.16666666666666666,0.016666666666666666,0.0,0.0,0.0,0.0,0.027522935779816515
UPS05,0.15463917525773196,0.32608695652173914,0.03260869565217391,0.32608695652173914,0.03260869565217391,0.0,0.0,0.0,0.0,0.030927835051546393
NOR10,0.08108108108108109,0.15,0.015151515151515152,0.15,0.015151515151515152,0.0,0.0,0.0,0.0,0.08108108108108109
PES11,0.15151515151515152,0.3125,0.03125,0.3125,0.03125,0.0,0.0,0.0,0.0,0.04040404040404041
OCM15,0.12631578947368421,0.25,0.02510460251046025,0.25,0.02510460251046025,0.0,0.0,0.0,0.0,0.031578947368421054
AMU06,0.2261904761904762,0.38,0.038306451612903226,0.38,0.038306451612903226,0.0,0.0,0.0,0.0,0.14285714285714285
LRE08,0.14285714285714285,0.2894736842105263,0.02894736842105263,0.2894736842105263,0.02894736842105263,0.0,0.0,0.0,0.0,0.03896103896103896
OCM01,0.17391304347826086,0.2962962962962963,0.02962962962962963,0.2962962962962963,0.02962962962962963,0.0,0.0,0.0,0.0,0.13043478260869565
