,conjunctToSent,conjunctTypesToSent,conjunctToWords,conjunctNum,conjunctTypesToTotal,conjunctNeighborSent
BRE07,0.2894736842105263,0.10526315789473684,0.02894736842105263,11,0.36363636363636365,0.0
HES05,0.3181818181818182,0.06818181818181818,0.031818181818181815,14,0.21428571428571427,0.0
LYO14,0.48,0.08,0.048,24,0.16666666666666666,0.0
HES01,0.47619047619047616,0.09523809523809523,0.047619047619047616,20,0.2,0.023809523809523808
POF03,0.4,0.05454545454545454,0.04,22,0.13636363636363635,0.01818181818181818
LOR02,0.3333333333333333,0.08888888888888889,0.03333333333333333,15,0.26666666666666666,0.0
BRE05,0.3181818181818182,0.06060606060606061,0.03211009174311927,21,0.19047619047619047,0.0
CFE01,0.5370370370370371,0.07407407407407407,0.053703703703703705,29,0.13793103448275862,0.0
LRE03,0.47368421052631576,0.07894736842105263,0.04736842105263158,18,0.16666666666666666,0.02631578947368421
LDV04,0.22093023255813954,0.03488372093023256,0.022144522144522144,19,0.15789473684210525,0.011627906976744186
OCM04,0.3877551020408163,0.08163265306122448,0.03877551020408163,19,0.21052631578947367,0.0
NOR11,0.3709677419354839,0.06451612903225806,0.03715670436187399,23,0.17391304347826086,0.016129032258064516
BRE06,0.2653061224489796,0.04081632653061224,0.026694045174537988,13,0.15384615384615385,0.04081632653061224
NOR07,0.5952380952380952,0.07142857142857142,0.05980861244019139,25,0.12,0.0
