ID,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm
UPS03,17.588923,0.9043235,20.868902,0.62512875,16.392885,0.9162732,-0.2765836,-52.190464,24.403303,0.51179934,21.999918,0.5407003,18.07542,0.89638406,-2.197404,-7.367135
UPS11,14.121459,1.1204448,17.877327,0.8243367,12.864896,1.3011086,-6.4797573,-2.7937653,21.288952,0.6026248,18.082783,0.79005235,14.350621,1.3134015,-11.55271,-1.6144059
CVL01,16.715105,0.8612832,1.5682777,8.904818,-0.9536275,-14.706807,-16.995062,-0.83503664,21.990377,0.5880645,2.847066,5.328884,0.82910484,18.818817,-21.152311,-0.69289494
BRE16,21.685802,0.71151185,10.161883,1.174742,17.266226,0.82039595,-1.6264278,-9.849878,27.778307,0.4820025,11.10377,0.98896974,19.497965,0.78018314,-2.8469942,-6.436263
LOR04,20.05622,0.72381186,9.351878,1.3249973,21.984287,0.6854848,3.6714435,3.7022712,25.33804,0.46842733,9.719824,1.2430627,24.768703,0.6504175,3.8659425,3.9576805
LYO12,14.38343,1.0536052,3.2233171,4.5121336,11.923339,1.2253633,-2.9125173,-5.5641613,21.332611,0.60565966,4.93683,2.632864,14.951956,1.0820191,-6.30465,-2.9469848
BRE14,22.173801,0.72802484,9.839061,1.6533755,6.5124326,2.3653376,-10.978288,-1.5138305,28.666414,0.47246626,8.624466,1.9469012,6.3225017,2.6702735,-15.498808,-1.0918863
HES07,15.605213,0.902866,5.230965,2.1363049,3.0956535,4.3575687,-2.8281417,-4.526832,22.120516,0.5295973,4.575455,2.4478774,3.8590791,3.855025,-4.4815044,-3.2078025
UCA13,19.267262,1.044023,-0.9148279,-18.991812,14.039656,1.5026705,-14.510867,-1.3389059,25.179739,0.710519,-1.3178364,-13.591552,16.978283,1.2648139,-17.68699,-1.1305605
ALS03,18.897978,0.6977119,14.541717,0.8521073,8.891836,1.751321,-3.1419427,-4.4628663,23.693419,0.44630435,15.837507,0.6911019,10.562128,1.6221285,-2.3398395,-6.6605034
CFE08,23.555859,0.524465,18.488802,0.6951272,8.848219,1.5102187,-1.741965,-7.835613,27.125631,0.37673914,19.380508,0.63339806,9.065838,1.5660936,-3.1226122,-4.563355
BRE15,22.63055,0.67520636,5.994406,2.5717795,6.88803,2.040412,-10.38012,-1.6756879,27.797876,0.48422873,5.5551043,2.7859344,6.8907337,2.1824675,-15.309847,-1.1263398
GRE12,11.488433,1.0489951,13.259215,0.96101326,15.883569,0.92028433,-2.6320746,-5.5562124,16.343924,0.6371818,14.238037,0.8830559,19.669092,0.79027116,-5.112126,-3.131442
UPS08,15.385431,1.0812166,15.7235365,1.0683959,12.199044,1.3419138,-10.66358,-1.6729779,23.020658,0.54549724,14.103031,1.1600181,13.482294,1.3224069,-16.435598,-1.063112
GRE10,7.8303514,1.9159173,9.750909,1.5969925,-0.6082648,-28.264687,-20.871359,-1.0341518,11.596643,1.2517035,8.197816,2.087998,-2.0806258,-9.064219,-29.693827,-0.6487696
HES01,11.751772,1.119579,2.92037,4.3480253,1.9454628,8.048721,-6.7740154,-2.1480978,17.271425,0.6511309,2.053877,6.30183,1.1800754,14.404603,-10.698895,-1.4287575
LOR10,23.697565,0.6346439,13.021241,1.0079917,24.356663,0.5298204,2.5694237,5.304528,29.14911,0.42306277,14.762378,0.7457854,26.991978,0.4872494,3.4755657,4.376164
LRE05,16.330944,0.62131935,-2.1476376,-6.3185263,0.2887659,53.155632,-8.314928,-1.6748704,17.885708,0.5312408,-2.7341075,-5.171153,-1.0270629,-15.316316,-10.602143,-1.2663839
LDV02,22.732176,0.7045752,7.4438624,1.5243986,13.024773,1.208665,0.014284754,864.6229,29.2124,0.45951182,9.588186,1.0941436,16.548645,0.98511964,-0.15123823,-91.123695
