ID,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,equivalentSoundLevel_dBp,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength
UPS02,1.0438079,0.8169571,0.15855993,0.96885675,1.8153663,1.6568063,21.452318,11.083763,19.10425,10.801027,-20.554054,3.981577,2.0067904,0.3312991,0.34638363,0.17003545,0.2928831
SEN01,0.7406905,0.67793316,0.26866528,0.6511073,1.1190166,0.85035133,12.842626,9.035653,9.1318445,5.6760645,-25.325247,3.8326166,3.0862126,0.16458334,0.1519876,0.1525948,0.18880554
OCM14,0.7461915,0.93862385,0.10127573,0.58653283,1.2909791,1.1897035,16.28568,10.004653,15.705382,11.548233,-26.12775,3.350472,2.1589239,0.2696335,0.2421617,0.18988472,0.3347095
PES04,1.2425195,0.9476409,0.17398152,0.9267486,2.1388042,1.9648226,24.254309,15.009497,17.733917,12.035323,-18.389532,2.844482,2.2283454,0.25682795,0.2725322,0.1909036,0.24668479
NOR05,2.669091,0.6217899,0.9467495,2.4308279,4.3843894,3.43764,45.777397,23.050398,29.649826,16.966225,-12.128916,4.0671873,2.2252192,0.360202,0.38129294,0.08411392,0.07672179
UPS03,0.91808414,0.7975865,0.13490501,0.8720485,1.5670795,1.4321746,18.735573,10.359022,14.929476,8.735126,-22.04665,4.064706,2.0183594,0.32457724,0.26969105,0.16855262,0.28964335
UPS11,0.7379768,0.8613701,0.17821397,0.56883466,1.1998222,1.0216082,17.83268,11.811096,12.225776,8.601196,-24.364965,3.3638277,2.6429465,0.23243012,0.2518865,0.14162162,0.195689
CVL01,1.000379,0.8214349,0.29744592,0.8298449,1.5269198,1.229474,18.05658,15.0028,13.159043,10.426138,-22.748972,2.2406483,1.7981511,0.3659507,0.35973698,0.19196786,0.29322004
BRE16,0.5405651,0.8572658,0.12112662,0.4352215,0.89072984,0.76960325,13.276708,8.150272,11.141338,7.9463477,-29.147606,3.7666667,2.5840511,0.23025806,0.19088799,0.14725351,0.19877258
LOR04,0.74924624,0.9245814,0.18297347,0.5444802,1.2252752,1.0423017,15.979188,11.33734,13.392588,10.695684,-25.103165,2.6277778,2.233954,0.295398,0.31135714,0.14767705,0.20048732
LYO12,1.1349381,0.9294052,0.13132463,0.8997357,1.9890078,1.8576832,26.76286,17.437143,21.65308,14.177838,-22.269701,3.7921348,2.7142456,0.20354035,0.19266595,0.15727891,0.26491407
BRE14,0.58181953,0.76469344,0.16124357,0.49531218,0.94202083,0.7807773,11.853309,7.9393806,10.012098,6.242557,-27.970907,3.745784,2.2493193,0.2856842,0.30049926,0.15495522,0.24243648
HES07,0.68276125,0.78989434,0.1825032,0.56135833,1.0932344,0.9107312,14.687562,8.453175,13.2698965,8.952124,-29.193653,3.8455164,2.5867786,0.23014957,0.2220192,0.14908019,0.2188129
UCA13,1.6121603,0.7454475,0.40094507,1.4493699,2.712256,2.3113108,29.611721,17.23275,24.059412,13.657075,-17.185278,4.2865167,2.7428057,0.26766393,0.2597372,0.086159244,0.09559502
ALS03,1.1974642,0.87244165,0.23067838,0.9521998,2.0367842,1.8061059,25.58091,13.765603,23.87304,14.001228,-20.080965,3.9944134,2.2856822,0.29405868,0.29152867,0.13969187,0.21029298
CFE08,1.3751415,0.5777379,0.6250036,1.2797558,1.9961782,1.3711746,18.255177,12.085276,11.558867,7.953216,-16.785194,3.4638808,1.8889012,0.40955618,0.45502526,0.1258397,0.16220517
BRE15,0.51690733,0.69436836,0.17144458,0.4524635,0.8252017,0.6537571,10.313816,6.073316,7.8072124,4.215798,-30.882198,4.217877,2.2689168,0.30034482,0.25768462,0.13236263,0.15712179
GRE12,0.8275176,0.89895535,0.16717131,0.66072935,1.3478407,1.1806693,20.343071,14.436048,16.729542,13.3132305,-25.888397,3.1541057,2.7150877,0.21405064,0.21529798,0.15331706,0.26692787
UPS08,0.778799,0.824953,0.21587926,0.64232206,1.2097905,0.9939112,14.440125,9.158427,12.961501,9.695698,-25.652836,3.312849,2.2969878,0.27924573,0.29089528,0.15392756,0.20490614
GRE10,0.8144024,0.7791835,0.19802737,0.701963,1.3309327,1.1329054,15.146805,9.721101,12.838037,8.318772,-27.392506,3.4944444,2.171855,0.3053077,0.27575403,0.15390532,0.24873087
HES01,0.555659,0.69376636,0.20601957,0.48542175,0.8393065,0.6332869,10.944689,6.6935325,7.705759,5.451257,-32.708385,3.278481,2.361507,0.26568365,0.25705567,0.14720117,0.1863421
LOR10,0.6871791,0.8063301,0.17568478,0.58042943,1.1187854,0.9431006,13.00844,7.0157557,11.792616,7.6400285,-23.543457,3.436464,2.0933712,0.32597885,0.34331906,0.14446746,0.22269168
LRE05,1.1192392,0.6797956,0.49378547,0.95496804,1.5770258,1.0832403,18.382051,12.339521,15.749768,11.829825,-25.67779,3.1283169,1.5757712,0.5257447,0.7914656,0.110633485,0.12878326
LDV02,0.74074775,0.6696701,0.2738003,0.6793989,1.0935949,0.8197946,13.2989235,8.084115,10.674627,6.874571,-25.991312,3.7666667,2.4619317,0.27020314,0.25978932,0.13090439,0.1867095
UPL02,0.2029721,0.6970799,0.061292857,0.1840276,0.31087184,0.24957898,3.5681567,2.1454422,3.028293,2.012183,-39.765507,3.2361677,2.8491757,0.19644679,0.16315229,0.147565,0.21512002
LYO01,0.770016,0.89220124,0.121420324,0.62641823,1.292415,1.1709948,18.568148,12.235515,15.047151,10.371076,-26.913872,3.687151,2.4867282,0.22844943,0.209673,0.16278847,0.2411859
SOU08,0.5145993,0.8585525,0.119072735,0.39675376,0.83457655,0.7155038,11.6108055,7.549697,9.420942,6.1826854,-29.504866,3.850214,2.6175392,0.23129511,0.19753416,0.14370283,0.17320701
BRE05,0.5448135,0.91052556,0.10203757,0.40454888,0.9470743,0.84503675,14.73532,8.748571,13.287499,8.822413,-30.394611,4.027933,2.4421594,0.23489702,0.18693802,0.17989188,0.24943942
CVL02,0.8170905,0.6086272,0.36668444,0.74576396,1.1953312,0.8286468,13.035757,7.1607547,10.168255,6.0726304,-28.622934,3.8163116,2.449402,0.28100938,0.289989,0.12205962,0.17999889
HES02,1.0900707,0.7522727,0.32792336,0.9361282,1.7019553,1.374032,23.116467,13.81291,16.69186,10.787309,-24.419525,3.536107,3.2224188,0.1780446,0.18563941,0.12330152,0.1656781
SPC04,0.70195514,0.8368559,0.19147712,0.5630206,1.0904408,0.89896363,14.466408,9.249996,11.677296,8.147616,-28.944906,3.4285715,2.4709735,0.261253,0.23673767,0.13720867,0.16027777
ALS09,0.84468776,0.8039435,0.24474911,0.69200444,1.3303978,1.0856488,16.86709,10.847153,12.558274,8.658504,-23.113195,3.3428571,2.320663,0.2865271,0.27055502,0.13538043,0.17429934
SPC09,1.0581053,0.8389126,0.24094158,0.8752767,1.7444017,1.5034602,19.619429,12.287154,15.705145,11.141992,-18.896244,3.1754386,1.7315005,0.4090878,0.39475897,0.16797665,0.21093594
