ID,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,hammarbergIndexUV_sma3nz_amean
CFE03,0.069566496,1.6595552,1.5157567,0.57882315,5.4795547,1.0660443,33.486244,0.24480316,20.084846
SOU07,0.041183483,2.245722,1.2754216,0.87396264,8.4337435,0.53127074,26.66876,0.2870231,32.64322
BFC02,0.04480463,1.8352209,1.4513924,0.83127385,4.5847754,0.9779142,19.52106,0.429056,8.022787
NOR08,0.057053175,1.8518895,1.276742,0.6862711,4.1753154,1.3249177,26.963455,0.33890918,13.013129
UCA01,0.051719323,1.7573286,1.492383,0.7339593,3.8537729,1.281842,26.088093,0.57417387,11.442943
ALS06,0.037884675,2.1211402,1.2454704,0.8740011,7.273013,0.6709692,25.942068,0.322723,10.450684
GRE06,0.041155282,1.8586433,1.2509191,0.7902296,6.6042366,0.897006,20.52172,0.47391486,11.611037
SPC12,0.044425372,2.1228836,1.3948715,0.8339608,5.508404,0.7514553,23.279379,0.34648898,13.6390915
GRE15,0.042650893,1.9677765,1.1794543,0.78644955,6.8119464,0.8337335,20.945948,0.48845312,8.635636
POF01,0.032796644,2.1579747,1.0374244,0.9891629,9.029832,0.5693245,25.795582,0.37349308,13.462121
BRE10,0.04664743,2.0543694,1.1748639,0.8731248,7.677522,0.72029495,24.444813,0.34498662,12.526551
UPS12,0.05024055,2.0660617,1.2807133,0.85849047,7.5082455,0.74161386,24.934422,0.3480539,11.402405
GRE09,0.044134494,2.1175048,1.262008,0.79677844,6.4474607,0.94099313,22.25709,0.40219364,11.20079
SOU09,0.04851807,2.1011326,1.2291659,0.9645948,9.178973,0.55230165,34.337452,0.25920108,30.805946
UPS04,0.051423546,2.1237817,1.4192097,0.81902754,4.3370867,1.1461478,24.372515,0.34069702,12.709007
LRE11,0.06732328,1.6906623,1.5003706,0.58241296,1.2241569,3.3542974,17.643791,0.37826952,14.377086
BOD06,0.046881627,2.1079552,1.2560513,0.74102557,6.6245236,0.7777907,21.318316,0.35534123,13.15158
SEN02,0.110971205,1.2114909,1.3861817,0.6039632,-3.6015556,-0.56922805,14.948452,0.22680746,14.311527
OCM12,0.030747322,1.5727428,1.3541375,0.7137649,3.6754613,1.1079403,14.990137,0.64106303,9.275265
BOD15,0.051951338,1.7896441,1.5297769,0.6688476,2.7816787,1.4627764,19.93317,0.39353526,11.739152
GRE05,0.034158062,2.2362201,1.1444355,0.7718889,6.452593,0.7880243,15.614283,0.5121624,13.822086
SPC11,0.044810805,2.0562959,1.099288,0.94215906,8.041972,0.7226827,21.770197,0.42129302,13.156317
LRE08,0.056532037,1.7665622,1.4872491,0.5730467,1.0305632,3.8248413,16.896185,0.49021152,12.399547
LDV01,0.04013987,1.9258395,1.2267921,0.83972067,7.3338346,0.65697163,24.590246,0.364166,10.0142145
LRE02,0.065253906,1.6035471,1.3751571,0.55603653,2.9966104,1.758888,20.418425,0.35064444,12.325808
BRE04,0.03305992,1.9810739,1.1004195,0.78023034,8.504327,0.6117332,21.400366,0.39124873,11.599941
GRE02,0.046848882,2.005015,1.3636022,0.7989781,4.4782143,1.1267978,23.639439,0.38651443,10.390762
NOR07,0.045176752,1.9249367,1.1910616,0.71104974,4.9064274,1.105128,21.818304,0.36173874,11.118747
PES11,0.04122919,1.9967619,1.4835286,0.8217256,4.154368,1.2129958,22.137068,0.46638286,8.575418
OCM04,0.047985014,1.9479812,1.3926651,0.8240129,3.487693,1.4040141,18.876904,0.5691965,9.3884735
UPS14,0.061634704,1.9021307,1.4016572,0.8773696,6.4460974,0.7920014,24.756874,0.36279035,15.431337
