ID,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm
SPC04,30.509836,0.18027171,26.50747,30.490082,34.393932,7.886463,295.85864,521.17725,111.78373,268.58438,509.90466,0.42698607,1107.1671,0.21011746,-81.000244,-1.0768875,1599.3628,0.2071891,667.8249,0.5026449,-83.43831,-0.94694304,2621.8484,0.10271553,639.35297,0.49121535,-81.19163,-0.9861512,-12.136182,-0.6958297,-5.5964656,3.59589,2.6839287,14.807267,0.66918015
ALS09,33.7736,0.19037406,30.938816,33.961815,38.046284,7.1074677,350.67114,605.97125,164.1653,340.3051,531.9999,0.42543787,1182.4661,0.19722307,-84.53714,-1.047821,1647.4785,0.17878547,813.7559,0.5256584,-84.8395,-0.8958503,2704.649,0.10359943,756.5901,0.6295253,-86.089165,-0.87029886,-18.265093,-0.42343137,-3.9553738,10.619587,1.1872605,23.640915,0.5236424
SPC09,27.47473,0.18615605,24.442402,27.654263,31.189997,6.747595,243.74628,324.26834,119.73007,201.7791,511.36496,0.45666444,1139.8945,0.21539703,-69.8807,-1.1666567,1596.0896,0.18510982,776.15643,0.4712785,-77.26369,-0.9527191,2574.1062,0.11325726,781.56335,0.45420527,-77.65547,-0.94263244,-18.64476,-0.4336785,-6.429854,10.611832,1.3640796,23.63226,0.51272595
UPS13,30.500011,0.23377536,26.970142,30.676037,33.648582,6.67844,347.29886,472.54413,117.025604,160.3941,564.3177,0.4990139,1130.7548,0.23367548,-73.49043,-1.1651567,1625.2883,0.21180785,810.31335,0.3983325,-77.541405,-0.9918623,2630.488,0.12959675,748.2365,0.37791014,-79.13038,-0.95599127,-15.643512,-0.6004263,-4.077069,8.924872,1.5258754,22.44393,0.5655497
CVL04,37.67445,0.14380413,34.509556,37.632122,42.009518,7.499962,154.94945,233.5183,130.42287,270.8694,611.89557,0.37924954,1258.9095,0.19919683,-71.034546,-1.2430376,1690.2026,0.1785393,899.5993,0.48553306,-65.967964,-1.1409317,2702.2288,0.117164396,808.083,0.538748,-68.4218,-1.0764084,-15.254477,-0.4757968,-4.835999,9.373598,1.1281815,22.136122,0.45071137
BOD07,37.78378,0.13551083,35.90018,38.322895,40.95443,5.054249,188.63383,346.36484,125.67155,230.5619,589.1927,0.39683816,1221.2479,0.18669672,-96.057846,-0.9621069,1668.1019,0.21962439,908.234,0.43102092,-79.80714,-1.0111033,2773.4326,0.12741083,732.9474,0.6202182,-84.208084,-0.9181903,-14.494413,-0.55691516,-7.721616,6.6927476,1.8223891,23.878532,0.46104693
SOU12,33.09698,0.16682102,31.532234,34.084774,36.663197,5.1309624,419.7734,598.00195,109.660324,182.51324,523.9628,0.3857154,1247.9286,0.1678244,-104.79207,-0.8617965,1645.9868,0.15973495,891.1341,0.4585751,-104.93855,-0.77617633,2670.0806,0.099281095,864.1368,0.51637715,-106.65206,-0.7483192,-19.98681,-0.33601055,-22.974106,10.706546,1.1795344,24.24859,0.40222064
ALS04,38.38807,0.13222589,35.48227,38.726562,42.096756,6.6144867,199.74182,355.239,150.74062,362.8831,556.4344,0.4869614,1192.5862,0.24877799,-86.46122,-1.0141176,1633.0294,0.18754433,806.8763,0.44470796,-66.96818,-1.0857061,2654.2861,0.11133174,846.768,0.49953175,-69.13811,-1.0308776,-14.725073,-0.5880082,-3.0356123,10.252506,0.95749766,18.164766,0.5979281
GRE01,36.87673,0.20899361,31.348045,38.49268,43.04628,11.698235,258.66815,422.3447,139.1293,255.69254,589.5636,0.43656138,1179.8649,0.20817362,-90.05535,-1.0032332,1640.1658,0.20729645,833.96344,0.43362278,-74.699135,-1.056466,2702.0713,0.121584885,745.8117,0.5215834,-77.753105,-0.9821574,-12.563693,-0.6150097,-2.7564588,6.518171,1.9738991,20.093824,0.63241816
BRE02,36.27066,0.1700543,34.135918,36.796974,40.373215,6.237297,252.94121,429.99564,104.849785,160.98546,552.0654,0.39289412,1271.2974,0.18774648,-91.87694,-1.0024612,1603.2661,0.17336759,908.8983,0.40601805,-83.9477,-0.957849,2652.324,0.09574526,803.7721,0.50404555,-86.613106,-0.904786,-16.199593,-0.4600238,-5.377705,9.825429,1.1886252,22.157278,0.52126735
