ID,Segment,WC,WPS,BigWords,emopos,emoneg,anxiete,colère,tristesse,cognition,perspicacite,cause,divergence,tentative,certitude,inhibition,inclusion,exclusion,perception,remplisseur
BRE08,1,453,19.7,26.49,2.87,1.55,0.22,0.88,0.22,18.76,3.31,2.87,0.88,3.09,1.1,0.88,10.82,2.21,3.09,0
LYO01,1,515,11.7,25.83,2.72,0.58,0,0,0.19,19.81,3.5,4.08,1.55,2.33,1.17,0.78,11.46,2.72,5.24,0
ALS04,1,608,19,17.93,3.62,0.82,0,0,0.33,17.6,3.62,1.32,2.96,1.81,1.81,0.49,9.05,3.78,1.15,0
ALS11,1,580,14.87,22.41,4.14,0.69,0.17,0,0.17,19.31,2.24,2.41,0.86,2.41,3.28,1.55,10.69,2.07,2.24,0
BRE06,1,513,19,25.93,2.14,1.36,0.39,0.58,0.19,18.13,1.75,2.34,2.34,2.34,0.97,1.17,10.72,2.92,2.14,0
SPC10,1,577,14.07,22.88,6.07,1.04,0.52,0.52,0.35,21.84,2.08,2.08,2.77,2.6,1.91,0.69,11.27,4.85,3.12,0
SPC05,1,549,17.16,22.4,4.01,0.36,0,0,0.36,17.3,2.91,1.82,2.73,1.82,1.46,1.46,8.74,3.28,2.55,0
PES10,1,600,12.77,21.17,3,0.83,0.17,0.17,0.67,18.5,3.83,2.67,1,3.33,2.83,0.33,8.67,1.33,1.83,0
OCM15,1,503,19.35,29.82,5.17,0.2,0,0.2,0,20.08,3.38,3.18,0.99,1.59,2.58,0.2,9.94,1.59,4.17,0
BOD07,1,547,14.39,19.93,2.01,0.73,0,0.18,0.18,21.02,2.56,2.38,2.74,1.28,1.46,0.55,12.61,4.2,3.66,0
BOD12,1,583,19.43,20.93,4.29,1.54,1.03,0.17,0.17,19.9,2.06,5.66,1.37,1.2,1.54,0.86,11.49,4.29,2.57,0
SPC04,1,592,14.1,23.31,2.03,2.2,0.17,0.17,1.18,17.57,2.53,3.04,1.35,1.52,2.53,0.68,10.98,1.01,1.86,0
SPC11,1,433,15.46,27.02,3.23,1.15,0,0.46,0,18.94,3,2.54,0.69,1.62,1.62,0.69,9.93,2.31,2.54,0
