ID,DISC_RefExprPronounsPerNoun,DISC_RefExprPronounsPerSen,DISC_RefExprPronounsPerWord,DISC_RefExprPerPronounsPerSen,DISC_RefExprPerProPerWord,DISC_RefExprPossProPerSen,DISC_RefExprPossProPerWord,DISC_RefExprDefArtPerSen,DISC_RefExprDefArtPerWord,DISC_RefExprProperNounsPerNoun
HES01,0.631578947368421,3.27272727272727,0.0757894736842105,3.27272727272727,0.0757894736842105,0,0,0,0,0.0350877192982456
HES05,0.278481012658228,0.814814814814815,0.0459290187891441,0.814814814814815,0.0459290187891441,0,0,0,0,0.0126582278481013
HES04,0.128712871287129,0.351351351351351,0.021523178807947,0.351351351351351,0.021523178807947,0,0,0,0,0.207920792079208
HES02,0.278688524590164,0.894736842105263,0.0542264752791069,0.894736842105263,0.0542264752791069,0,0,0,0,0.0819672131147541
HES08,0.12,0.4,0.0207253886010363,0.4,0.0207253886010363,0,0,0,0,0.06
HES06,0.142857142857143,0.5,0.0287206266318538,0.5,0.0287206266318538,0,0,0,0,0.142857142857143
HES03,0.146666666666667,0.5,0.0277078085642317,0.5,0.0277078085642317,0,0,0,0,0.0666666666666667
ANT02,0.0930232558139535,0.421052631578947,0.0187353629976581,0.421052631578947,0.0187353629976581,0,0,0,0,0.0348837209302326
ANT01,0.247787610619469,1.16666666666667,0.0482758620689655,1.16666666666667,0.0482758620689655,0,0,0,0,0.0353982300884956
SOU10,0.0517241379310345,0.206896551724138,0.0106761565836299,0.206896551724138,0.0106761565836299,0,0,0,0,0.0431034482758621
SOU11,0.202380952380952,0.395348837209302,0.0344827586206897,0.395348837209302,0.0344827586206897,0,0,0,0,0.0952380952380952
SOU06,0.11864406779661,0.451612903225806,0.0235294117647059,0.451612903225806,0.0235294117647059,0,0,0,0,0.0254237288135593
SOU13,0.224299065420561,0.857142857142857,0.0401337792642141,0.857142857142857,0.0401337792642141,0,0,0,0,0.0373831775700935
SOU02,0.365591397849462,0.68,0.0673267326732673,0.68,0.0673267326732673,0,0,0,0,0.0645161290322581
SOU07,0.14,0.333333333333333,0.0238907849829352,0.333333333333333,0.0238907849829352,0,0,0,0,0.08
